title,price,status,brand,shortDescription,processorBrand,processorModel,displaySize,ram,ramType,storageCapacity
"Dell Inspiron 15 3520 Core i3 12th Gen 15.6"" FHD Laptop","58,500৳60,500৳",In Stock,Dell,"['MPN: WARMLKN15ADL23051004PLASPP', 'Model: Inspiron 15 3520', 'Processor: Intel Core i3-1215U (10M Cache, up to 4.40 GHz)', 'RAM: 8GB RAM, Storage: 512GB SSD', 'Display: 15.6"" FHD (1920 x 1080)', 'Features: Stereo Speakers']",Intel,Core i3-1215U,15.6 inch,8GB x 1,DDR4,512GB
"Dell Latitude 3430 Core i3 12th Gen 14"" FHD Laptop","65,500৳",In Stock,Dell,"['Model: Latitude 3430', 'Processor: Intel Core i3-1215U (10MB Cache, Up to 4.40 GHz)', 'RAM: 8GB DDR4 RAM, Storage: 512GB SSD', 'Display: 14"" FHD (1920 x 1080)', 'Features: Type-C, Wi-Fi 6']",Intel,Core i3-1215U,14 inch,8GB,DDR4,512GB
"Dell Latitude 3530 Core i3 12th Gen 15.6"" FHD Laptop","69,500৳",In Stock,Dell,"['Model: Latitude 3530', 'Processor: Intel Core i3-1215U (10MB Cache, Up to 4.40 GHz)', 'RAM: 8GB DDR4 RAM, Storage: 512GB SSD', 'Display: 15.6"" FHD (1920 x 1080)', 'Features: Backlit Keyboard, Type-C, Wi-Fi 6']",Intel,Core i3-1215U,15.6 inch,8GB,DDR4,512GB
"Dell Latitude 3520 Core i5 11th Gen 15.6"" HD Laptop","69,800৳",In Stock,Dell,"['Model: Latitude 3520', 'Processor: Intel Core i5-1135G7 11th Gen (2.40 GHz to 4.20 GHz Turbo)', 'RAM: 8GB DDR4, Storage: 256 GB', 'Display: 15.6"" HD (1366 x 768)', 'Features: Type-C, M.2']",Intel,Core i5-1135G7,15.6 Inch,8GB,DDR4,256 GB
"Dell Inspiron 15 3520 Core i5 12th Gen 15.6"" FHD Laptop","76,500৳78,500৳",In Stock,Dell,"['MPN: WARMLKN15ADL23051010PLASPP', 'Model: Inspiron 15 3520', 'Processor: Intel Core i5-1235U (12M Cache, 1.30 GHz, up to 4.40 GHz)', 'RAM: 8GB RAM, Storage: 512GB SSD', 'Display: 15.6"" FHD (1920 x 1080)', 'Features: Stereo Speakers']",Intel,Core i5-1235U,15.6 inch,8GB x1,DDR4,512GB
"Dell Latitude 3430 Core i5 12th Gen 14"" FHD Laptop","83,500৳",In Stock,Dell,"['Model: Latitude 3430', 'Processor: Intel Core i5-1235U (12M Cache, 1.30 GHz, up to 4.40 GHz)', 'RAM: 8GB RAM, Storage: 512GB SSD', 'Display: 14"" FHD (1920 x 1080)', 'Features: USB Type-C, M.2']",Intel,Core i5-1235U,14 inch,8GB,DDR4,512GB
"Lenovo IdeaPad Flex 5 14ABR8 Ryzen 5 7530U 14"" Touchscreen Laptop","91,000৳95,500৳",In Stock,Lenovo,"['MPN: 82XX00ACLK', 'Model: IdeaPad Flex 5 14ABR8', 'Processor: AMD Ryzen 5 7530U (2.0GHz up to 4.5GHz)', 'RAM: 16GB 4266MHz; Storage: 512GB SSD', 'Display: 14"", WUXGA (1920x1200) IPS 300nits Glossy, 45% NTSC, 60Hz', 'Features: Backlit Keyboard,10-point Multi-touch']",AMD,Ryzen 5 7530U,14 Inch,16GB,LPDDR4x,512GB
"Lenovo IdeaPad Flex 5 14ALC7 AMD Ryzen 5 5500U 14"" Touchscreen Laptop","96,000৳",In Stock,Lenovo,"['MPN: 82R900E0IN', 'Model: IdeaPad Flex 5 14ALC7', 'Processor: AMD Ryzen 5 5500U (2.1GHz up to 4.0GHz)', 'RAM: 16GB LPDDR4x Storage: 512GB SSD', 'Display: 14"" WUXGA (1920x1200) IPS', 'Features: Backlit Keyboard, Touch, Type-C']",AMD,Ryzen 5 5500U,14 Inch,16GB,LPDDR4x,512GB
"Lenovo IdeaPad Flex 5 14ABR8 Ryzen 7 7730U 14"" Touchscreen Laptop","102,500৳107,000৳",In Stock,Lenovo,"['MPN: 82XX00ADLK', 'Model: IdeaPad Flex 5 14ABR8', 'Processor: AMD Ryzen 7 7730U (2.0GHz up to 4.5GHz)', 'RAM: 16GB DDR4, Storage: 512GB SSD', 'Display: 14"" WUXGA (1920x1200) IPS', 'Features: Backlit Keyboard, Camera privacy shutter']",AMD,Ryzen 7 7730U,14 Inch,16GB,LPDDR4x,512GB
"Lenovo IdeaPad Gaming 3 15ARH7 Ryzen 5 7535HS 16GB RAM RTX 2050 4GB Graphics 15.6"" FHD Laptop","92,500৳99,000৳",In Stock,Lenovo,"['MPN: 82SB00SEIN', 'Model: IdeaPad Gaming 3 15ARH7', 'Processor: AMD Ryzen 5 7535HS (3.3GHz up to 4.55GHz, 6 cores)', 'RAM: 16GB DDR5, Storage: 512GB SSD', 'Graphics: NVIDIA GeForce RTX 2050 4GB GDDR6', 'Features: Backlit Keyboard, HD Audio, Stereo Speakers']",AMD,Ryzen 5 7535HS,15.6 Inch,16GB,DDR5,512GB SSD
"Dell Latitude 3430 Core i5 12th Gen 14"" FHD Touch Laptop","86,500৳",In Stock,Dell,"['Model: Latitude 3430', 'Processor: Intel Core i5-1235U (12M Cache, 1.30 GHz, up to 4.40 GHz)', 'RAM: 8GB RAM, Storage: 512GB SSD', 'Display: 14"" FHD (1920 x 1080)', 'Features: USB Type-C, Touch']",Intel,Core i5-1235U,14 inch,8GB,DDR4,512GB
